set_num,name,year,num_parts,theme_name,parent_theme,is_licensed,total_sets
00-1,Weetabix Castle,1970,471.0,Castle,Legoland,False,142
0011-2,Town Mini-Figures,1978,,Supplemental,Town,False,1116
0011-3,Castle 2 for 1 Bonus Offer,1987,,Lion Knights,Castle,False,256
0012-1,Space Mini-Figures,1979,12.0,Supplemental,Space,False,332
0013-1,Space Mini-Figures,1979,12.0,Supplemental,Space,False,332
0014-1,Space Mini-Figures,1979,12.0,Supplemental,Space,False,332
0015-1,Space Mini-Figures,1979,,Supplemental,Space,False,332
0016-1,Castle Mini Figures,1978,,Castle,Castle,False,256
00-2,Weetabix Promotional House 1,1976,,Building,Legoland,False,142
00-3,Weetabix Promotional House 2,1976,,Building,Legoland,False,142
00-4,Weetabix Promotional Windmill,1976,126.0,Building,Legoland,False,142
005-1,Basic Building Set in Cardboard,1965,35.0,Basic Set,Classic,False,354
00-6,Special Offer,1985,3.0,Classic Town,Town,False,1116
00-7,Weetabix Promotional Lego Village,1976,,Building,Legoland,False,142
010-1,Basic Building Set in Cardboard,1965,57.0,Basic Set,Classic,False,354
010-3,Basic Building Set,1968,77.0,Basic Set,Classic,False,354
011-1,Basic Building Set,1968,145.0,Basic Set,Classic,False,354
022-1,Basic Building Set,1968,110.0,Basic Set,Classic,False,354
03093-1,The Race to Build It Board Game,1999,,Game,Gear,False,435
033-2,Basic Building Set,1968,,Basic Set,Classic,False,354
044-1,Basic Building Set,1968,,Basic Set,Classic,False,354
055-2,Basic Building Set,1968,,Basic Set,Classic,False,354
066-1,Basic Building Set,1968,,Basic Set,Classic,False,354
080-1,Basic Building Set with Train,1967,710.0,Basic Set,Classic,False,354
088-1,Super Set,1969,615.0,Basic Set,Universal Building Set,False,441
10000-1,Guarded Inn,2001,256.0,Castle,Castle,False,256
10001-1,Metroliner,2001,,Train,Train,False,281
10002-1,Railroad Club Car,2001,272.0,Train,Train,False,281
10003-1,1 x 2 Sand Red Bricks,2001,100.0,Bulk Bricks,Bulk Bricks,False,136
10004-1,2 x 2 Sand Red Bricks,2001,100.0,Bulk Bricks,Bulk Bricks,False,136
10005-1,2 x 4 Sand Red Bricks,2001,50.0,Bulk Bricks,Bulk Bricks,False,136
10006-1,1 x 6 Sand Red Bricks,2001,50.0,Bulk Bricks,Bulk Bricks,False,136
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,25.0,Bulk Bricks,Bulk Bricks,False,136
10008-1,2 x 4 Roof Tile Sand Red,2001,50.0,Bulk Bricks,Bulk Bricks,False,136
10009-1,Assorted Blue Bricks,2001,62.0,Bulk Bricks,Bulk Bricks,False,136
100-1,4.5V Motor with Wheels (Small Version),1966,16.0,4.5V,Train,False,281
10010-1,Assorted Yellow Bricks,2003,63.0,Bulk Bricks,Bulk Bricks,False,136
10011-1,Assorted Blue Plates,2001,42.0,Bulk Bricks,Bulk Bricks,False,136
10012-1,Assorted Yellow Plates,2001,,Bulk Bricks,Bulk Bricks,False,136
10013-1,Open Freight Wagon,2001,,My Own Train,Train,False,281
10014-1,Caboose,2001,170.0,My Own Train,Train,False,281
10015-1,Passenger Wagon,2001,194.0,My Own Train,Train,False,281
10016-1,Tanker,2001,128.0,My Own Train,Train,False,281
10017-1,Hopper Wagon,2001,228.0,My Own Train,Train,False,281
10018-1,Darth Maul,2001,1868.0,Star Wars,Star Wars,True,609
10019-1,Rebel Blockade Runner - UCS,2001,,Star Wars Episode 4/5/6,Star Wars,True,609
100-2,4.5V Motor with Wheels (Large Version),1966,27.0,4.5V,Train,False,281
10020-1,"Santa Fe Super Chief, NOT the Limited Edition",2002,,9V,Train,False,281
10020-2,"Santa Fe Super Chief, Limited Edition",2002,,9V,Train,False,281
10021-1,U.S.S. Constellation,2003,,Hobby Sets,Hobby Sets,False,12
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,410.0,My Own Creation,Train,False,281
10023-1,Master Builder Set,2002,,Bionicle,Bionicle,False,417
10024-1,Red Baron,2002,669.0,Sculptures,Sculptures,False,30
10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,,My Own Creation,Train,False,281
10026-1,Naboo Starfighter - UCS,2002,,Star Wars Episode 1,Star Wars,True,609
10027-1,Train Engine Shed,2003,670.0,World City,Train,False,281
10029-1,Lunar Lander,2003,468.0,Discovery,Discovery,False,8
10030-1,Imperial Star Destroyer - UCS,2002,3115.0,Star Wars Episode 4/5/6,Star Wars,True,609
10036-1,Pizza To Go,2002,150.0,Food & Drink,Town,False,1116
10037-1,Breezeway Cafe,2002,194.0,Food & Drink,Town,False,1116
10039-1,Black Falcon's Fortress,2002,431.0,Castle,Castle,False,256
10040-1,Black Seas Barracuda,2002,914.0,Pirates,Pirates,False,88
10041-1,"Main Street, Reissue",2003,639.0,Traffic,Town,False,1116
10042-1,American Flag,2003,35.0,Seasonal,Seasonal,False,928
10043-1,2x2 Electrical Plate,2002,,Bulk Bricks,Bulk Bricks,False,136
10044-1,Windows and Doors,2002,,Bulk Bricks,Bulk Bricks,False,136
